,Genus
otu1602,Paraprevotella
otu1899,Paraprevotella
otu1399,Paraprevotella
otu1786,Paraprevotella
otu1335,Paraprevotella
otu816,Paraprevotella
otu1776,Paraprevotella
otu2047,Paraprevotella
otu1952,Paraprevotella
otu3938,Paraprevotella
otu3790,Bacteroides
otu181,Bacteroides
otu3383,Bacteroides
otu810,Bacteroides
otu234,Bacteroides
otu685,Bacteroides
otu2194,Bacteroides
otu408,Bacteroides
otu2949,Bacteroides
otu267,Bacteroides
otu3833,Bacteroides
otu4035,Bacteroides
otu3339,Bacteroides
otu3593,Bacteroides
otu3455,Bacteroides
otu3271,Bacteroides
otu3159,Bacteroides
otu606,Bacteroides
otu935,Bacteroides
otu995,Bacteroides
otu781,Bacteroides
otu1052,Bacteroides
otu811,Bacteroides
otu918,Bacteroides
otu1238,Bacteroides
otu155,Bacteroides
otu518,Bacteroides
otu563,Bacteroides
otu17,Bacteroides
otu2747,Bacteroides
otu244,Bacteroides
otu5,Bacteroides
otu134,Bacteroides
otu20,Lachnospiraceae UCG-004
otu355,Lachnospiraceae UCG-004
otu768,Lachnospiraceae UCG-004
otu3360,Bacteroides
otu2898,Bacteroides
otu3717,Bacteroides
otu2137,Bacteroides
otu2154,Bacteroides
otu2506,Bacteroides
otu1351,Bacteroides
otu3330,Bacteroides
otu3692,Bacteroides
otu2526,Bacteroides
otu2939,Bacteroides
otu2734,Bacteroides
otu3767,Bacteroides
otu3205,Bacteroides
otu2848,Bacteroides
otu2410,Bacteroides
otu3189,Bacteroides
otu3347,Bacteroides
otu3673,Bacteroides
otu2785,Bacteroides
otu3855,Bacteroides
otu2603,Bacteroides
otu50,Bacteroides
otu8,Bacteroides
otu3,Bacteroides
otu2932,Bacteroides
otu3897,Bacteroides
otu4061,Bacteroides
otu1517,Bacteroides
otu73,Bacteroides
otu2840,Bacteroides
otu2699,Bacteroides
otu573,Bacteroides
otu3840,Bacteroides
otu1067,Bacteroides
otu1367,Bacteroides
otu1234,Bacteroides
otu1329,Bacteroides
otu523,Bacteroides
otu22,Bacteroides
otu2347,Bacteroides
otu164,Bacteroides
otu192,Lachnospiraceae UCG-004
otu148,Bacteroides
otu122,Bacteroides
otu931,Bacteroides
otu747,Bacteroides
otu160,Bacteroides
otu123,Bacteroides
otu458,Lachnospiraceae UCG-004
otu165,Lachnospiraceae UCG-004
otu672,Bacteroides
otu37,Bacteroides
otu1511,Bacteroides
otu2648,Bacteroides
otu3983,Bacteroides
otu2460,Bacteroides
otu3548,Bacteroides
otu4052,Bacteroides
otu819,Lachnospiraceae UCG-004
otu139,Lachnospiraceae UCG-004
otu427,Bacteroides
otu3834,Bacteroides
otu3384,Bacteroides
otu3414,Bacteroides
otu4171,Bacteroides
otu3844,Bacteroides
otu1005,Bacteroides
otu3055,Bacteroides
otu3530,Bacteroides
otu2357,Bacteroides
otu3014,Bacteroides
otu2413,Bacteroides
otu3607,Bacteroides
otu3887,Bacteroides
otu4193,Bacteroides
otu3843,Bacteroides
otu2802,Bacteroides
otu3368,Bacteroides
otu3823,Bacteroides
otu3604,Bacteroides
otu3706,Bacteroides
otu4162,Bacteroides
otu4173,unidentified
otu4021,Bacteroides
otu3620,Bacteroides
otu502,Bacteroides
otu1125,Bacteroides
otu589,Bacteroides
otu3403,Bacteroides
otu3603,Odoribacter
otu2854,Bacteroides
otu3638,Odoribacter
otu158,Bacteroides
otu1582,Odoribacter
otu4004,unidentified
otu39,Odoribacter
otu196,Odoribacter
otu840,Odoribacter
otu3831,Bacteroides
otu447,Odoribacter
otu1143,Odoribacter
otu632,Bacteroides
otu460,Odoribacter
otu547,Bacteroides
otu549,Odoribacter
otu1072,Odoribacter
otu1447,Odoribacter
otu47,Odoribacter
otu197,Odoribacter
otu569,Bacteroides
otu4050,Odoribacter
otu4046,Bacteroides
otu3454,Bacteroides
otu3488,Odoribacter
otu2719,Bacteroides
otu124,Bacteroides
otu2547,Bacteroides
otu117,Odoribacter
otu2283,Odoribacter
otu4022,unidentified
otu3781,unidentified
otu4197,Odoribacter
otu261,Odoribacter
otu1003,Bacteroides
otu147,Bacteroides
otu326,unidentified
otu1997,unidentified
otu1250,Bacteroides
otu2325,Bacteroides
otu4056,Lachnospiraceae UCG-004
otu3257,Bacteroides
otu3297,Bacteroides
otu2114,Bacteroides
otu2309,Bacteroides
otu3020,Bacteroides
otu3262,Bacteroides
otu3872,Bacteroides
otu3896,Bacteroides
otu4174,Lachnospiraceae UCG-004
otu3341,Bacteroides
otu3606,Bacteroides
otu2731,Bacteroides
otu111,Lachnospiraceae UCG-004
otu958,Lachnospiraceae UCG-004
otu3063,Lachnospiraceae UCG-004
otu519,Lachnospiraceae UCG-004
otu3295,Lachnospiraceae UCG-004
otu2010,Lachnospiraceae UCG-004
otu2015,Lachnospiraceae UCG-004
otu2186,Lachnospiraceae UCG-004
otu514,Lachnospiraceae UCG-004
otu1731,Lachnospiraceae UCG-004
otu210,Lachnospiraceae UCG-004
otu2810,Lachnospiraceae UCG-004
otu461,Bacteroides
otu487,Bacteroides
otu494,Bacteroides
otu87,Bacteroides
otu728,Bacteroides
otu360,Bacteroides
otu1115,Bacteroides
otu313,Bacteroides
otu241,Bacteroides
otu917,Bacteroides
otu1044,Bacteroides
otu1128,Bacteroides
otu1606,Bacteroides
otu1600,Bacteroides
